,id,currentEducation,experienceYears,language,interest_list,skill_list,learningResource_list,tools_list
12,1863818a-b833-4b5c-a3b5-f9417dafe3fe,Undergraduate Degree,3,English,"['Reinforcement Learning', 'Deep Learning', 'AI Planning and Optimization', 'Generative AI', 'Speech Recognition', 'Computer Vision', 'AI for Games', 'AI Ethics', 'Robotics', 'Recommender Systems', 'Neural Networks', 'Cognitiv']","['Stanford Online', 'GitHub', 'Harvard Online', '', 'MIT OpenCourseWare', 'Udemy', 'Coursera', 'Kaggle']","['DeepLearning.ai', 'GitHub', 'Stanford Online']","['Hugging Face Transformers', 'PyTorch']"
13,18bfebc6-892c-4fdb-8541-ebeefc5f65e9,Middle School,1,Spanish,"['Deep Learning', 'Robotics']","['DeepLearning.ai', 'GitHub', 'Udemy']","['Kaggle', '', 'DeepLearning.ai', 'Coursera', 'Google AI', 'MIT OpenCourseWare']",['Amazon SageMaker']
14,19b46089-aa96-42fc-ba03-9116e20fd327,Undergraduate Degree,3,Spanish,"['', 'Machine Learning']","['Kaggle', 'Stanford Online', 'Coursera', 'Harvard Online', '', 'MIT OpenCourseWare', 'DeepLearning.ai', 'Udemy']","['YouTube', 'Coursera', 'Google AI', 'Kaggle', 'edX', 'Harvard Online', 'GitHub', 'Stanford Online', 'MIT OpenCourseWare']","['Amazon SageMaker', 'Weka', 'TensorFlow', 'Hugging Face Transformers', 'Keras', 'OpenCV', 'RapidMiner', 'BigML', 'Google Cloud AI']"
15,1a585eed-df32-485c-9670-26df6013a534,Elementary,1,Arabic,"['AI in Finance', 'AI Ethics', 'Speech Recognition', 'Reinforcement Learning', 'Generative AI', 'AI Planning and Optimization', 'Cognitive Computing', 'Neural Networks', 'Natural Language Processing', '', 'Computer Vision', 'A']","['Udemy', 'MIT OpenCourseWare']","['', 'Kaggle', 'Google AI', 'Harvard Online', 'YouTube', 'Udemy']","['PyTorch', 'Keras', 'RapidMiner', 'DataRobot', 'Weka', '', 'Scikit-learn', 'IBM Watson', 'Google Cloud AI', 'Hugging Face Transformers', 'Amazon SageMaker', 'OpenCV', 'Microsoft Azure AI', 'TensorFlow']"
16,1c3bbc5d-7bb8-4290-b8a8-ba8ab4643fec,Master Degree,4,Japanese,"['Cognitive Computing', 'Reinforcement Learning', 'AI in Education', 'AI Planning and Optimization', 'AI for Games', 'Speech Recognition', 'Natural Language Processing', 'AI in Healthcare', 'Generative AI', 'Recommender ']","['', 'Udemy', 'DeepLearning.ai', 'Stanford Online', 'Google AI', 'MIT OpenCourseWare', 'edX', 'YouTube', 'Kaggle']","['Harvard Online', 'Udemy', '', 'MIT OpenCourseWare', 'Coursera', 'YouTube', 'Stanford Online']","['Google Cloud AI', 'BigML', 'Hugging Face Transformers', 'Scikit-learn', 'DataRobot']"
17,1cd2f846-f60a-450b-ab86-1312e6649dc8,Master Degree,4,Japanese,"['AI in Education', 'Recommender Systems', 'AI for Games', 'Natural Language Processing']","['DeepLearning.ai', 'Kaggle', 'YouTube', 'Harvard Online', 'Coursera', 'MIT OpenCourseWare', 'Google AI', 'Stanford Online', 'Udemy']","['MIT OpenCourseWare', 'edX', 'YouTube', 'GitHub', 'Udemy', 'Kaggle']",['OpenAI GPT']
18,1deda068-668b-46bd-a4e4-dfcb6fc0942d,Undergraduate Degree,3,Portuguese,"['Neural Networks', 'AI Ethics', 'Deep Learning', 'Cognitive Computing', 'Speech Recognition', 'Natural Language Processing', 'Reinforcement Learning', 'Computer Vision', 'Autonomous Vehicles', 'Expert Systems', 'Machine Le']","['YouTube', 'Coursera', 'MIT OpenCourseWare', 'Stanford Online', 'Harvard Online', 'edX', 'Udemy']","['GitHub', 'Harvard Online', 'MIT OpenCourseWare', 'edX', 'Kaggle', 'DeepLearning.ai', '', 'Coursera']","['TensorFlow', 'Keras', 'Scikit-learn', 'Hugging Face Transformers', 'RapidMiner', 'Weka', 'PyTorch', 'OpenAI GPT', 'Microsoft Azure AI', 'Amazon SageMaker', 'DataRobot', 'Google Cloud AI', 'IBM Watson', '', 'OpenCV']"
20,20ff8ac2-6832-454e-a2e3-43c1c53f1638,Middle School,1,Hindi,"['Expert Systems', 'AI in Education', 'Natural Language Processing', 'Deep Learning', 'Machine Learning', 'Reinforcement Learning', 'AI Planning and Optimization', 'AI in Finance', 'Robotics', 'Speech Recognition', '', 'AI in ']","['YouTube', '', 'GitHub']","['edX', 'Coursera', 'Kaggle', 'GitHub', 'YouTube', 'Udemy', 'MIT OpenCourseWare']","['OpenAI GPT', 'DataRobot', 'Scikit-learn', 'IBM Watson', 'OpenCV', 'RapidMiner', 'PyTorch', 'TensorFlow']"
21,220e76e5-8f57-49b3-8d9b-b7b75aed810c,University,2,Bengali,"['Cognitive Computing', 'Computer Vision', 'Natural Language Processing', 'AI in Education', '', 'Speech Recognition', 'AI in Finance', 'Expert Systems', 'Robotics', 'Recommender Systems', 'Deep Learning']","['GitHub', 'Kaggle', 'Coursera', 'MIT OpenCourseWare', 'Stanford Online', 'Google AI']","['edX', '']","['Keras', 'Microsoft Azure AI', 'IBM Watson', 'DataRobot', 'Weka']"
23,2431d32b-b6b6-44bf-ab71-b19a0f08bf13,Undergraduate Degree,3,Dutch,"['Robotics', 'Computer Vision', 'Speech Recognition', 'Deep Learning', 'AI in Education', 'Cognitive Computing', 'Recommender Systems', 'AI in Healthcare']","['edX', 'YouTube', 'GitHub', '', 'Harvard Online', 'Kaggle', 'Stanford Online']","['Kaggle', 'Harvard Online', 'Coursera', 'edX']","['DataRobot', 'Amazon SageMaker', 'RapidMiner', 'OpenCV']"
24,2463b61f-9dc6-4dc1-9c4c-1d8d00ef48bc,Elementary,1,Arabic,"['Reinforcement Learning', 'AI in Finance', 'Computer Vision']","['Google AI', 'Coursera']","['DeepLearning.ai', 'edX', 'GitHub', 'Stanford Online', 'MIT OpenCourseWare']","['Weka', 'OpenCV', 'Keras', 'Scikit-learn', 'PyTorch', 'Google Cloud AI', 'RapidMiner']"
25,2ad2e365-640c-424c-84ef-8c80d1943cfc,High School,0,Mandarin,"['Deep Learning', 'Reinforcement Learning', 'Recommender Systems', 'Speech Recognition', 'AI in Education', 'AI Planning and Optimization']",['Google AI'],"['Google AI', 'Harvard Online', 'Coursera', 'Kaggle', 'DeepLearning.ai', 'Stanford Online', 'edX', 'GitHub', '', 'Udemy']","['Microsoft Azure AI', 'BigML', 'Amazon SageMaker', 'OpenCV']"
26,2aee9008-c701-4165-a3a0-fbf514c20499,High School,0,Japanese,"['Speech Recognition', 'Natural Language Processing', 'Reinforcement Learning', 'AI in Education', 'Machine Learning', 'Deep Learning', 'Computer Vision', 'AI Planning and Optimization', 'Cognitive Computing', 'Recommend']",['YouTube'],"['Coursera', 'DeepLearning.ai', 'GitHub', 'Udemy', 'edX', 'Google AI', 'MIT OpenCourseWare']","['PyTorch', 'OpenAI GPT', 'Hugging Face Transformers', 'Scikit-learn', '', 'DataRobot', 'TensorFlow', 'Google Cloud AI', 'OpenCV', 'Microsoft Azure AI', 'Amazon SageMaker', 'BigML']"
27,2b95436e-9ebb-4b77-a218-33d8b2ce8db5,Undergraduate Degree,3,Polish,"['Autonomous Vehicles', 'Reinforcement Learning', 'AI for Games']","['Harvard Online', 'Google AI', 'Kaggle', 'GitHub', 'edX', 'MIT OpenCourseWare', '', 'Stanford Online']","['GitHub', 'DeepLearning.ai', 'MIT OpenCourseWare']","['Google Cloud AI', 'Microsoft Azure AI', 'RapidMiner', 'Scikit-learn', 'OpenAI GPT', 'Hugging Face Transformers', 'Amazon SageMaker', 'DataRobot', 'TensorFlow', 'OpenCV', 'BigML', '']"
29,2db1bd2b-f466-4bc3-8c24-34973444a8a5,Master Degree,4,Thai,"['Recommender Systems', 'AI in Education', 'Cognitive Computing', 'AI in Healthcare', 'Generative AI', 'Natural Language Processing', 'Machine Learning', 'AI in Finance', 'Autonomous Vehicles', 'Expert Systems', '', 'AI Planni']","['Google AI', 'Udemy', 'Harvard Online', 'Coursera', 'YouTube', 'MIT OpenCourseWare', 'Kaggle', 'DeepLearning.ai', 'GitHub']",['Udemy'],"['IBM Watson', 'BigML', '', 'PyTorch', 'RapidMiner', 'Keras', 'Microsoft Azure AI', 'Weka']"
30,2e339389-9b11-4bda-b031-0d5b8381c897,Middle School,2,Dutch,"['AI for Games', 'Natural Language Processing', 'AI in Education', 'Recommender Systems', 'Reinforcement Learning', 'Robotics', 'Expert Systems', 'Autonomous Vehicles', 'Computer Vision', 'AI in Healthcare', 'Cognitive Comp']","['YouTube', 'Harvard Online', 'Coursera', 'Stanford Online']","['Coursera', 'Udemy', 'edX', 'Google AI', 'MIT OpenCourseWare', 'Harvard Online']","['Hugging Face Transformers', 'Keras', 'DataRobot']"
31,2f571cbd-6ffa-4e7c-af10-a7533a92bc0a,Undergraduate Degree,3,French,"['AI for Games', 'AI Ethics', 'AI Planning and Optimization', 'Natural Language Processing', 'Generative AI', 'Cognitive Computing', 'Autonomous Vehicles', 'Neural Networks', 'Recommender Systems', 'Deep Learning', 'AI in F']","['Stanford Online', 'edX', 'MIT OpenCourseWare', 'Google AI', 'Coursera', '', 'Harvard Online', 'Udemy']","['YouTube', 'Stanford Online', 'edX', 'Google AI', 'Udemy', 'DeepLearning.ai', 'MIT OpenCourseWare']","['RapidMiner', 'Weka']"
32,2f6ce80b-b4d9-42f4-8b74-4c38327f57e5,Middle School,2,Arabic,"['Robotics', 'AI in Healthcare', 'Autonomous Vehicles', 'Cognitive Computing', 'Natural Language Processing', 'Expert Systems', 'AI for Games', '', 'AI Planning and Optimization', 'Computer Vision', 'Recommender Systems', 'Neu']","['Udemy', '', 'Harvard Online', 'Kaggle']","['Coursera', 'Google AI', 'edX', 'Harvard Online', 'Stanford Online', 'MIT OpenCourseWare', 'Kaggle', 'DeepLearning.ai', 'YouTube', 'Udemy', 'GitHub']","['', 'Scikit-learn', 'PyTorch', 'Microsoft Azure AI', 'RapidMiner', 'TensorFlow', 'OpenAI GPT', 'Weka', 'OpenCV']"
34,30efe1b5-4ac5-4a3c-bcf2-d9edce794779,Undergraduate Degree,3,Spanish,"['AI in Education', 'Recommender Systems', '', 'Computer Vision', 'Robotics', 'Autonomous Vehicles']","['YouTube', 'edX', '', 'Kaggle', 'Harvard Online', 'Udemy', 'GitHub']","['GitHub', 'Google AI', 'DeepLearning.ai', 'Harvard Online', 'edX', 'Stanford Online', 'Kaggle', 'MIT OpenCourseWare', '', 'Udemy', 'YouTube']","['DataRobot', 'Microsoft Azure AI', 'Amazon SageMaker', 'Scikit-learn']"
35,3100da41-1ca7-4349-b6e5-6726110a42a7,Middle School,1,French,"['Cognitive Computing', 'Reinforcement Learning', 'AI in Education', 'Speech Recognition', 'AI in Healthcare', 'AI for Games', 'Deep Learning', '', 'Generative AI', 'Computer Vision', 'AI Planning and Optimization', 'Machine L']","['Google AI', '', 'Harvard Online']","['edX', 'MIT OpenCourseWare', '', 'Harvard Online']","['OpenAI GPT', 'OpenCV']"
37,3401f5e5-ef48-4a21-9c75-da64e482e795,Undergraduate Degree,3,Japanese,"['Speech Recognition', 'Expert Systems', 'Natural Language Processing', 'Robotics', 'Generative AI', 'AI for Games', '', 'Machine Learning', 'AI in Education', 'Computer Vision', 'AI in Finance', 'Deep Learning', 'Neural Networks']","['DeepLearning.ai', 'Coursera', 'edX', 'Harvard Online', '', 'Google AI', 'GitHub']","['edX', 'MIT OpenCourseWare', 'Coursera', 'Google AI', 'Harvard Online', 'DeepLearning.ai', 'Udemy', 'Kaggle', 'Stanford Online', '']","['Scikit-learn', 'PyTorch', 'Keras', 'Weka']"
38,366cf9ea-df58-486e-bb33-db10b4eb25bf,Middle School,2,Hindi,"['AI in Healthcare', 'Machine Learning', 'AI in Finance', 'Neural Networks', 'Reinforcement Learning', 'Autonomous Vehicles']","['Harvard Online', 'Kaggle', 'edX', 'Google AI']","['', 'GitHub', 'YouTube', 'Udemy', 'MIT OpenCourseWare', 'DeepLearning.ai']","['OpenAI GPT', 'Microsoft Azure AI', 'OpenCV', 'DataRobot', 'Keras', 'PyTorch', 'RapidMiner', 'TensorFlow', 'IBM Watson', '']"
39,372ea012-16e1-4cca-83c8-c0e35601ad20,Undergraduate Degree,3,Vietnamese,"['AI in Finance', '', 'Generative AI', 'AI in Healthcare', 'Neural Networks', 'Expert Systems', 'Autonomous Vehicles', 'Recommender Systems', 'AI in Education', 'Reinforcement Learning', 'AI Planning and Optimization', 'Comput']","['edX', 'DeepLearning.ai', 'Kaggle', 'Google AI', 'Harvard Online', 'YouTube', 'Coursera']","['Udemy', 'Coursera', 'edX', 'Stanford Online']","['OpenCV', 'Hugging Face Transformers', 'Amazon SageMaker']"
41,39353cbe-8573-4d4b-8235-03f4ca895a86,High School,0,Vietnamese,"['', 'Reinforcement Learning', 'Cognitive Computing', 'Machine Learning', 'AI Planning and Optimization', 'Neural Networks', 'Autonomous Vehicles', 'AI for Games']",['edX'],"['Harvard Online', 'Udemy', 'Google AI', 'edX', 'MIT OpenCourseWare', 'GitHub', 'Kaggle', '', 'DeepLearning.ai']","['OpenAI GPT', 'TensorFlow', 'IBM Watson', 'Keras', 'Weka']"
42,39691059-a397-4d89-a05f-09bb86dea863,Middle School,1,Vietnamese,"['Reinforcement Learning', 'Expert Systems', 'Deep Learning', 'Speech Recognition', 'Autonomous Vehicles']","['Udemy', 'Harvard Online', 'Coursera']","['Udemy', 'Coursera', 'Google AI']","['OpenAI GPT', 'DataRobot']"
43,3a7462ed-6672-450b-b8eb-01274330ff40,University,2,Polish,"['Generative AI', 'Speech Recognition', 'Natural Language Processing', 'AI in Healthcare', 'AI Planning and Optimization', 'Machine Learning', 'AI in Education', 'Robotics', '', 'Computer Vision', 'Reinforcement Learning', 'AI']","['DeepLearning.ai', 'Coursera', '', 'Udemy', 'Harvard Online', 'GitHub']","['Udemy', 'Google AI', 'Kaggle', 'edX', 'Stanford Online', 'MIT OpenCourseWare', 'Coursera', 'Harvard Online', '', 'YouTube']","['Weka', 'Scikit-learn', 'RapidMiner', 'DataRobot', 'PyTorch', 'Hugging Face Transformers', 'Google Cloud AI', 'Keras', 'OpenAI GPT', 'Microsoft Azure AI']"
44,3b74ad2c-30df-470b-8817-7c2143139a04,Elementary,1,Dutch,"['AI Planning and Optimization', 'Speech Recognition', 'Cognitive Computing', 'Neural Networks', 'Generative AI', 'AI in Education', 'Autonomous Vehicles', 'Natural Language Processing', 'Reinforcement Learning', 'Comput']","['YouTube', 'Kaggle']","['Harvard Online', 'MIT OpenCourseWare', 'Udemy', '', 'Coursera', 'GitHub', 'DeepLearning.ai', 'YouTube', 'edX']","['Hugging Face Transformers', 'OpenCV', 'Scikit-learn', 'IBM Watson', 'RapidMiner', 'Microsoft Azure AI', 'Amazon SageMaker', 'TensorFlow', 'DataRobot', '', 'Google Cloud AI', 'Weka']"
45,3bf8503d-0553-4549-996b-ddcc5c843091,University,2,Spanish,"['AI Planning and Optimization', 'Speech Recognition', 'Natural Language Processing', 'Neural Networks', 'AI in Healthcare', 'AI for Games', 'Recommender Systems', 'Reinforcement Learning']","['Kaggle', 'Udemy', 'Google AI', 'Harvard Online', 'DeepLearning.ai', 'YouTube']","['Kaggle', 'Google AI', 'MIT OpenCourseWare', 'GitHub', 'Stanford Online', 'DeepLearning.ai']","['Microsoft Azure AI', 'OpenAI GPT', 'DataRobot', 'PyTorch', 'Keras', 'Hugging Face Transformers', 'Amazon SageMaker', 'OpenCV', 'TensorFlow']"
46,3c5b467a-c26b-4592-b2a5-cb85fd5fc77d,Middle School,2,German,"['AI in Finance', 'Neural Networks', 'Generative AI', 'AI for Games']","['edX', 'Kaggle', 'Coursera', 'Harvard Online']","['Kaggle', 'GitHub', 'Udemy', 'YouTube', 'DeepLearning.ai', 'Stanford Online', '']","['Hugging Face Transformers', 'TensorFlow', 'BigML', 'Microsoft Azure AI', 'Weka']"
47,3ce70383-e847-47a2-aded-734fb96b1041,Elementary,1,Portuguese,"['Robotics', 'AI for Games', 'AI Planning and Optimization', 'Recommender Systems', 'Neural Networks', 'Expert Systems', 'AI Ethics', 'Generative AI', '', 'AI in Healthcare']","['GitHub', 'Stanford Online']","['Google AI', 'DeepLearning.ai', 'Udemy', 'MIT OpenCourseWare', 'Kaggle', 'edX', 'Harvard Online']","['IBM Watson', 'Hugging Face Transformers', 'TensorFlow']"
49,3e5f9400-218b-42f0-9a55-b23f977b117b,Middle School,1,Japanese,"['AI in Healthcare', 'Reinforcement Learning', 'Speech Recognition', 'Natural Language Processing', 'Cognitive Computing', 'Expert Systems', '', 'Neural Networks', 'Generative AI', 'Autonomous Vehicles', 'AI Planning and Op']","['YouTube', 'edX', 'MIT OpenCourseWare']","['DeepLearning.ai', '', 'edX', 'Coursera', 'Harvard Online', 'GitHub']","['IBM Watson', 'Hugging Face Transformers', 'Microsoft Azure AI', 'OpenCV', 'BigML', 'Google Cloud AI']"
50,3e66e6ec-d2bf-4f33-bbdd-d382f651cc2b,Undergraduate Degree,3,Spanish,"['Natural Language Processing', 'AI for Games', '', 'AI in Healthcare', 'AI Ethics', 'Machine Learning', 'Robotics', 'Cognitive Computing', 'Computer Vision', 'AI in Education', 'Recommender Systems', 'AI in Finance', 'Neural Net']","['Harvard Online', 'Google AI', 'YouTube', 'Udemy', 'Coursera', '', 'GitHub', 'Stanford Online']","['Kaggle', 'GitHub']","['DataRobot', 'Hugging Face Transformers', 'Keras', 'TensorFlow', 'BigML', 'IBM Watson', 'Amazon SageMaker', 'PyTorch', 'OpenCV', 'OpenAI GPT', 'Scikit-learn']"
51,3f0dcbe5-4267-4932-b804-2ab304732ec1,Middle School,1,Dutch,"['Reinforcement Learning', 'Cognitive Computing', 'Natural Language Processing', 'Expert Systems', 'Machine Learning', 'Neural Networks', 'AI for Games', 'AI in Finance', 'Deep Learning', 'AI in Healthcare', 'Recommender Sy']","['edX', 'Google AI', 'Stanford Online']",['Stanford Online'],"['IBM Watson', 'PyTorch', 'Keras', 'RapidMiner', 'Hugging Face Transformers', 'BigML']"
52,451fe4f8-0c73-4572-93a1-595824344594,Undergraduate Degree,3,Italian,['Expert Systems'],"['Kaggle', 'Harvard Online', '', 'Udemy', 'DeepLearning.ai', 'edX', 'MIT OpenCourseWare', 'YouTube']","['Harvard Online', 'GitHub', 'Stanford Online', 'YouTube', 'edX', 'Google AI', 'Kaggle']","['Hugging Face Transformers', 'OpenCV', 'Keras']"
53,45c7868c-5f69-4818-b3d1-5ece98c4d8df,University,2,German,"['Generative AI', 'Deep Learning', 'Machine Learning', 'AI in Finance']","['Harvard Online', 'Udemy', '', 'Google AI', 'edX', 'Stanford Online']","['edX', 'Stanford Online', 'Kaggle', 'MIT OpenCourseWare', 'YouTube', 'Coursera', 'DeepLearning.ai']","['DataRobot', 'TensorFlow']"
54,45d9335e-d7a1-4996-8c99-15f6599927e5,Undergraduate Degree,3,Turkish,"['Expert Systems', '', 'Speech Recognition', 'AI in Education', 'Neural Networks']","['YouTube', 'Stanford Online', 'Udemy', 'edX', 'GitHub', 'Kaggle', 'Coursera', 'DeepLearning.ai']","['', 'DeepLearning.ai', 'Coursera', 'edX', 'Harvard Online', 'YouTube', 'GitHub', 'MIT OpenCourseWare', 'Udemy', 'Stanford Online', 'Kaggle']","['BigML', 'Scikit-learn', 'TensorFlow', '', 'IBM Watson', 'PyTorch', 'OpenCV']"
56,486f0a3b-e9f3-46fa-b744-2ffa8b5d1a30,High School,0,Russian,"['', 'AI in Healthcare', 'Expert Systems', 'Neural Networks']",['GitHub'],"['Google AI', 'YouTube', 'MIT OpenCourseWare', 'DeepLearning.ai', 'Kaggle', 'edX', '', 'Udemy', 'Harvard Online']","['Hugging Face Transformers', 'Google Cloud AI', 'DataRobot', 'Amazon SageMaker', 'OpenAI GPT', 'Scikit-learn', 'BigML', 'IBM Watson', 'OpenCV', 'Weka', 'Microsoft Azure AI', 'PyTorch', 'RapidMiner', 'Keras']"
58,4adf9f96-2e80-4951-9c6f-7a0729a7d56c,Undergraduate Degree,3,French,['Expert Systems'],"['Harvard Online', 'GitHub', 'Google AI', 'DeepLearning.ai', 'Stanford Online', 'Kaggle', 'MIT OpenCourseWare']","['', 'Harvard Online', 'MIT OpenCourseWare', 'edX', 'YouTube', 'Coursera', 'Kaggle', 'Udemy', 'Google AI']","['PyTorch', 'DataRobot', 'Amazon SageMaker', '']"
59,4af72bd2-ce62-4402-91c7-5b0e576b21db,Undergraduate Degree,3,Arabic,"['Natural Language Processing', 'AI in Education', 'AI Ethics', 'Speech Recognition', 'Deep Learning', 'Autonomous Vehicles', 'AI in Healthcare', '', 'Expert Systems', 'AI Planning and Optimization', 'Neural Networks', 'Roboti']","['YouTube', 'Harvard Online', 'Kaggle', 'MIT OpenCourseWare', 'Udemy', 'Stanford Online', '']","['Stanford Online', 'GitHub', 'Kaggle', 'YouTube', 'DeepLearning.ai', 'edX', '', 'Google AI']","['Microsoft Azure AI', 'Amazon SageMaker', 'Scikit-learn', 'OpenAI GPT', 'PyTorch', 'DataRobot', 'BigML', 'Keras', 'Google Cloud AI', 'IBM Watson', 'Hugging Face Transformers', '']"
60,4d2dde16-5a42-4766-9852-b27369033a1f,Master Degree,4,Vietnamese,"['', 'Natural Language Processing', 'AI in Education', 'Expert Systems', 'AI Ethics', 'Machine Learning', 'Cognitive Computing', 'Neural Networks', 'Deep Learning']","['DeepLearning.ai', 'Google AI', 'MIT OpenCourseWare', 'Stanford Online', '', 'GitHub', 'Harvard Online', 'Coursera', 'edX']","['DeepLearning.ai', 'Google AI', '', 'Kaggle', 'GitHub', 'Stanford Online']",['OpenAI GPT']
