id,language,currentEducation,experienceYears,interest_list,skill_list,learningResource_list,tools_list
173e866b-2c3e-4f43-81ee-54814778161e,Swedish,Elementary,1,"['Neural Networks', 'AI Planning and Optimization', 'Autonomous Vehicles', 'AI for Games', 'Generative AI', 'AI Ethics', 'Recommender Systems', 'AI in Education', 'Cognitive Computing', 'AI in Healthcare', '', 'Reinforcement Learning', 'Machine Learning', 'Expert Systems', 'Deep Learning', 'Speech Recognition', 'Computer Vision', 'Natural Language Processing', 'Robotics']","['Reinforcement Learning', 'Cognitive Computing']","['', 'GitHub', 'Harvard Online', 'Coursera']",['PyTorch']
185341c0-315e-4cf8-85d6-171434c762fd,Arabic,Elementary,1,"['', 'Deep Learning', 'Computer Vision', 'AI in Education', 'AI for Games', 'Neural Networks', 'Robotics', 'Cognitive Computing', 'Reinforcement Learning', 'AI in Finance', 'Expert Systems', 'Recommender Systems', 'AI Ethics', 'Speech Recognition', 'Autonomous Vehicles', 'AI in Healthcare', 'Machine Learning', 'Natural Language Processing']","['AI for Games', 'Computer Vision']","['edX', 'GitHub', 'Harvard Online', 'YouTube', '', 'DeepLearning.ai', 'Stanford Online', 'Coursera']","['RapidMiner', 'IBM Watson', 'Microsoft Azure AI', 'Scikit-learn', 'OpenCV', 'OpenAI GPT', 'PyTorch', 'BigML', 'Google Cloud AI']"
1a746428-ede7-4a96-bfbb-1163cd5faa4a,Spanish,Middle School,2,"['Recommender Systems', 'Generative AI', 'AI in Education', 'Deep Learning', 'Autonomous Vehicles', 'AI in Healthcare', 'AI for Games', 'Expert Systems', 'Machine Learning', '', 'AI Planning and Optimization', 'Natural Language Processing']","['Robotics', 'Machine Learning', 'Speech Recognition', 'Deep Learning']","['edX', 'MIT OpenCourseWare', 'Harvard Online', 'GitHub', 'DeepLearning.ai', 'Google AI']","['PyTorch', '', 'Hugging Face Transformers', 'Keras', 'RapidMiner', 'BigML', 'IBM Watson', 'Google Cloud AI']"
1e036965-f8f4-405d-ae5e-40a887bcddaa,Thai,Middle School,1,['AI in Healthcare'],"['AI in Healthcare', 'AI Ethics', 'AI in Education']","['Coursera', 'Harvard Online', 'edX', '', 'Stanford Online', 'DeepLearning.ai', 'Kaggle', 'GitHub', 'Google AI', 'MIT OpenCourseWare', 'Udemy']","['BigML', 'IBM Watson', 'Amazon SageMaker', 'Scikit-learn', 'TensorFlow', 'RapidMiner', 'Microsoft Azure AI', 'Weka']"
20034b71-437b-4792-abbc-68ec02023b48,Dutch,Middle School,1,"['Reinforcement Learning', 'Expert Systems', 'AI Ethics', 'Generative AI', 'Autonomous Vehicles', 'AI in Finance', 'Cognitive Computing']","['Natural Language Processing', 'Deep Learning', 'Speech Recognition']","['DeepLearning.ai', 'GitHub', 'Kaggle']",['Weka']
20819363-ba37-411e-8b23-24693c2dbd4e,Italian,Undergraduate Degree,3,"['AI for Games', 'Reinforcement Learning', 'Neural Networks', 'Generative AI', 'Robotics', 'AI Ethics', 'Deep Learning', 'AI in Healthcare', 'Recommender Systems', 'Computer Vision', '', 'AI in Finance']","['Expert Systems', 'Neural Networks', 'AI for Games', 'Deep Learning', 'Speech Recognition', 'AI in Healthcare', 'Natural Language Processing']","['MIT OpenCourseWare', 'DeepLearning.ai', '', 'Udemy', 'Stanford Online']","['', 'Microsoft Azure AI', 'OpenAI GPT', 'BigML', 'OpenCV', 'Amazon SageMaker', 'Weka', 'IBM Watson', 'Scikit-learn', 'Google Cloud AI', 'Hugging Face Transformers', 'Keras', 'PyTorch']"
274e5780-8ae7-48a4-88d7-09ca1fdbffb9,French,University,2,"['AI for Games', 'Natural Language Processing', 'Neural Networks', 'AI Planning and Optimization', 'AI Ethics', '', 'Speech Recognition', 'AI in Finance', 'Cognitive Computing', 'Deep Learning', 'Autonomous Vehicles', 'Computer Vision', 'Machine Learning', 'AI in Education']","['Natural Language Processing', 'Speech Recognition', 'Deep Learning', 'AI Planning and Optimization', 'Autonomous Vehicles', 'Reinforcement Learning']","['edX', 'MIT OpenCourseWare', 'Google AI', '', 'DeepLearning.ai']","['RapidMiner', 'Google Cloud AI', 'IBM Watson', 'PyTorch', 'Keras', 'Amazon SageMaker', 'Scikit-learn', 'Hugging Face Transformers', 'Weka', 'OpenCV', '', 'OpenAI GPT', 'DataRobot', 'BigML', 'Microsoft Azure AI']"
2a6cb0e2-dcc2-472a-a9e8-fa494c0e3c52,Turkish,Middle School,2,"['Robotics', 'Generative AI', 'Natural Language Processing', 'AI in Healthcare', 'Reinforcement Learning', 'AI Planning and Optimization', 'AI for Games', 'AI in Finance', 'AI in Education', 'Expert Systems']","['Deep Learning', 'AI Ethics', 'Generative AI', 'Robotics']","['Stanford Online', 'Udemy', 'Google AI', 'Coursera', 'MIT OpenCourseWare', 'YouTube', 'edX']","['Microsoft Azure AI', '']"
2b352ec2-423d-43bc-9d83-c8cde689984e,Dutch,Master Degree,4,"['AI in Education', 'AI Ethics', 'Cognitive Computing', 'AI for Games', 'Deep Learning', 'Reinforcement Learning']","['Autonomous Vehicles', 'Recommender Systems', 'AI in Education', 'AI in Finance', 'Reinforcement Learning', 'Natural Language Processing', 'Neural Networks', 'Speech Recognition', 'AI in Healthcare']","['Udemy', 'Stanford Online', 'YouTube', 'Kaggle']","['Google Cloud AI', 'DataRobot', 'Keras', 'Microsoft Azure AI', 'TensorFlow', 'Amazon SageMaker', 'Scikit-learn']"
2ce37f50-e9a0-475e-9a3a-3128e749e955,Italian,Middle School,1,"['Autonomous Vehicles', 'Robotics']","['AI in Finance', 'AI for Games', 'Recommender Systems']","['Coursera', 'MIT OpenCourseWare', 'DeepLearning.ai', 'YouTube', 'Stanford Online']","['Keras', 'Weka', '', 'Hugging Face Transformers', 'RapidMiner', 'OpenCV', 'DataRobot', 'IBM Watson', 'BigML', 'Amazon SageMaker', 'Google Cloud AI', 'Microsoft Azure AI', 'OpenAI GPT']"
2cec9ffb-c441-4738-b777-6a3ebdcff692,Vietnamese,Undergraduate Degree,3,"['Generative AI', 'Computer Vision', 'Autonomous Vehicles', '', 'AI Ethics', 'AI in Education', 'Cognitive Computing', 'Speech Recognition', 'Expert Systems']","['Reinforcement Learning', 'AI in Finance', '', 'Generative AI', 'Autonomous Vehicles', 'AI Planning and Optimization', 'Machine Learning']","['GitHub', 'MIT OpenCourseWare', 'Kaggle', 'YouTube', 'Google AI']","['Scikit-learn', 'Weka', '', 'DataRobot', 'Hugging Face Transformers', 'Google Cloud AI', 'IBM Watson', 'Amazon SageMaker', 'PyTorch']"
2d5d8303-f678-476f-9df2-b40a0524ed97,German,Undergraduate Degree,3,"['AI for Games', 'AI in Healthcare']","['AI Planning and Optimization', 'Robotics', 'Machine Learning', '', 'Cognitive Computing', 'Generative AI', 'AI in Education']","['DeepLearning.ai', 'YouTube', 'Google AI', 'Coursera', '', 'Kaggle', 'Stanford Online']","['Amazon SageMaker', '', 'TensorFlow', 'Microsoft Azure AI', 'IBM Watson', 'RapidMiner', 'DataRobot', 'Keras', 'OpenAI GPT', 'Google Cloud AI', 'PyTorch', 'Scikit-learn', 'BigML', 'Weka']"
30dd2493-83ed-468e-baca-629c39442074,Hindi,Undergraduate Degree,3,"['Machine Learning', 'AI in Healthcare', 'Speech Recognition', 'Cognitive Computing', 'AI in Education', 'Neural Networks', 'Natural Language Processing', 'Recommender Systems', 'AI Ethics', 'Generative AI', 'AI Planning and Optimization']","['AI Planning and Optimization', 'Speech Recognition', 'Neural Networks', 'Machine Learning', 'Natural Language Processing', '', 'Computer Vision', 'AI Ethics']","['Google AI', 'Stanford Online', 'Kaggle', 'DeepLearning.ai']","['Amazon SageMaker', '', 'Weka', 'Keras', 'RapidMiner', 'TensorFlow', 'OpenAI GPT']"
3560e97d-5c27-4c35-aec2-50d8e6fa1825,Spanish,Middle School,1,"['', 'Neural Networks', 'Generative AI', 'Reinforcement Learning', 'Expert Systems', 'Cognitive Computing', 'AI in Education', 'Natural Language Processing', 'Computer Vision', 'Autonomous Vehicles', 'Deep Learning', 'AI in Healthcare', 'AI for Games', 'Speech Recognition', 'Robotics', 'AI Planning and Optimization', 'AI Ethics', 'Machine Learning', 'Recommender Systems']","['', 'AI Ethics', 'Autonomous Vehicles']",['GitHub'],"['BigML', 'OpenAI GPT', 'Keras', 'Weka', '', 'PyTorch', 'DataRobot', 'Google Cloud AI', 'Microsoft Azure AI', 'Hugging Face Transformers']"
357c9be3-6ff3-4413-81eb-4949b254165d,Spanish,Undergraduate Degree,3,"['Neural Networks', 'AI for Games', 'AI Ethics']","['Autonomous Vehicles', 'Robotics', 'AI in Education', 'Deep Learning', '', 'AI in Finance', 'Speech Recognition']","['MIT OpenCourseWare', 'YouTube']","['DataRobot', 'Microsoft Azure AI', 'OpenCV', 'TensorFlow', 'Google Cloud AI', 'PyTorch', 'IBM Watson', 'OpenAI GPT', 'Amazon SageMaker', 'BigML', 'RapidMiner', '', 'Weka', 'Hugging Face Transformers', 'Keras']"
3619c13e-07e1-4a31-a528-972e727d1959,Korean,Undergraduate Degree,3,"['Speech Recognition', 'Cognitive Computing', 'Robotics', 'AI Ethics', 'AI in Education', 'Natural Language Processing', '', 'AI in Finance', 'Neural Networks', 'Deep Learning', 'Generative AI', 'Recommender Systems', 'Machine Learning', 'Autonomous Vehicles', 'AI in Healthcare', 'Expert Systems']","['Robotics', 'Deep Learning', 'AI in Finance', 'AI in Healthcare', 'AI for Games', '', 'AI in Education', 'Speech Recognition']","['Kaggle', 'MIT OpenCourseWare', 'Stanford Online', 'Google AI', 'YouTube', 'Harvard Online', 'GitHub', 'Udemy', 'DeepLearning.ai', 'Coursera']","['Amazon SageMaker', 'Microsoft Azure AI', 'Google Cloud AI', 'Keras', 'Weka', 'RapidMiner', 'OpenCV', 'OpenAI GPT', 'PyTorch', 'Scikit-learn', 'BigML']"
36985897-3fac-4d07-9b7c-4b4922e1a67e,Korean,Undergraduate Degree,3,"['Reinforcement Learning', 'Natural Language Processing', 'Autonomous Vehicles', 'Deep Learning', '', 'Expert Systems', 'AI in Finance', 'Neural Networks', 'Generative AI', 'Speech Recognition']","['Neural Networks', 'Computer Vision', 'Machine Learning', 'Speech Recognition', 'Autonomous Vehicles', 'AI in Education', 'Natural Language Processing', 'AI Planning and Optimization']","['edX', 'Stanford Online', 'Google AI', '', 'YouTube', 'DeepLearning.ai', 'GitHub', 'Harvard Online', 'Udemy']","['Weka', '', 'OpenAI GPT', 'Google Cloud AI']"
38180796-ee41-4cb0-bc97-ccec91ddeafe,Bengali,University,2,"['Generative AI', 'Speech Recognition', 'Natural Language Processing', 'Cognitive Computing', 'Deep Learning', 'Expert Systems']","['AI in Education', '', 'AI for Games', 'Natural Language Processing', 'AI in Healthcare', 'Machine Learning']","['Udemy', 'GitHub', 'edX', 'YouTube', 'Stanford Online', '', 'DeepLearning.ai', 'Harvard Online', 'Kaggle', 'MIT OpenCourseWare']","['Weka', 'RapidMiner', 'PyTorch', 'IBM Watson', 'DataRobot', 'Amazon SageMaker', 'Microsoft Azure AI', 'TensorFlow', 'Scikit-learn']"
4167fe6c-d376-46ca-976e-87e75d41588e,Turkish,Undergraduate Degree,3,"['Generative AI', 'AI in Healthcare', 'AI in Finance', 'Machine Learning', 'AI in Education', 'Reinforcement Learning']","['Reinforcement Learning', 'AI in Education', 'AI for Games', 'Machine Learning', 'Robotics', 'Generative AI', 'Natural Language Processing']","['Google AI', 'Coursera', 'Stanford Online', 'MIT OpenCourseWare', 'GitHub', 'Harvard Online', 'edX', 'Udemy']","['Microsoft Azure AI', 'Hugging Face Transformers', 'PyTorch', 'RapidMiner', 'Google Cloud AI', '', 'DataRobot', 'Scikit-learn', 'IBM Watson', 'BigML', 'Weka']"
423b4af4-ba9f-48de-b4c3-0a9d95a84eee,Greek,Middle School,2,"['Generative AI', 'Expert Systems', 'AI in Education', 'Reinforcement Learning', 'Robotics', 'AI Planning and Optimization', 'AI in Healthcare', 'Deep Learning', 'Computer Vision', 'Cognitive Computing', 'Speech Recognition', 'AI for Games', 'Neural Networks']","['AI in Education', 'Reinforcement Learning', '', 'Cognitive Computing']","['Stanford Online', 'Harvard Online', 'Coursera', 'YouTube', 'MIT OpenCourseWare', 'Google AI']","['Amazon SageMaker', 'TensorFlow']"
4324412e-46c9-4c4b-aac6-7b0c4c3d4345,Mandarin,Master Degree,4,"['AI Ethics', 'Machine Learning', 'Neural Networks', 'Cognitive Computing', 'AI Planning and Optimization', 'Expert Systems', 'Natural Language Processing', 'AI in Education', 'Recommender Systems', '', 'AI for Games', 'Robotics', 'AI in Finance', 'Generative AI']","['Recommender Systems', 'AI Planning and Optimization', 'Speech Recognition', 'AI in Education', 'Neural Networks', 'AI in Finance', 'Expert Systems', 'Autonomous Vehicles', 'Generative AI']","['GitHub', 'Coursera', 'Udemy', 'DeepLearning.ai', '', 'MIT OpenCourseWare', 'YouTube', 'Stanford Online']","['Amazon SageMaker', 'Hugging Face Transformers', 'Scikit-learn', 'BigML', 'IBM Watson', 'Keras']"
45863b15-0a74-4aac-bddf-4c6d8578bf6f,Japanese,Undergraduate Degree,3,"['Cognitive Computing', 'Speech Recognition', 'AI in Finance', 'Robotics', 'Recommender Systems', 'Natural Language Processing', 'Generative AI', 'Machine Learning', 'AI for Games', 'Expert Systems', 'Deep Learning', 'Reinforcement Learning', 'Neural Networks', '', 'AI Ethics', 'Computer Vision']","['AI for Games', 'Speech Recognition', '', 'Expert Systems', 'Machine Learning', 'AI Planning and Optimization', 'Generative AI']","['Kaggle', 'Harvard Online']","['RapidMiner', 'TensorFlow', 'OpenCV', 'Amazon SageMaker', 'Microsoft Azure AI', 'Hugging Face Transformers']"
45c5dd65-d5fe-4975-bad6-32294b01a007,Hindi,Undergraduate Degree,3,"['Cognitive Computing', 'Deep Learning', 'Autonomous Vehicles', 'AI in Finance', 'AI for Games', 'Speech Recognition', 'Reinforcement Learning', 'AI in Healthcare', 'Expert Systems', 'Machine Learning', 'Neural Networks', '', 'Generative AI', 'AI Ethics', 'Robotics']","['Robotics', 'AI in Finance', 'Natural Language Processing', 'Neural Networks', 'Machine Learning', 'Reinforcement Learning', 'Deep Learning']",['Google AI'],"['Hugging Face Transformers', 'RapidMiner', '', 'Amazon SageMaker', 'Keras', 'DataRobot', 'OpenAI GPT', 'Scikit-learn', 'PyTorch', 'TensorFlow']"
46548e9e-4906-4f19-aa67-ae71e7b24fab,Turkish,Middle School,1,"['Robotics', 'Deep Learning', 'Autonomous Vehicles', 'AI Ethics', 'Computer Vision', 'Speech Recognition', 'AI in Education', '', 'Neural Networks']","['Deep Learning', 'Machine Learning', 'Computer Vision']","['', 'MIT OpenCourseWare']","['Scikit-learn', 'OpenCV', 'Keras', 'Microsoft Azure AI', 'RapidMiner', 'OpenAI GPT', 'Amazon SageMaker', 'Hugging Face Transformers', 'Weka', '', 'BigML']"
469cb2d4-2c59-4016-a651-d5ba7cc57d66,Vietnamese,High School,0,"['Autonomous Vehicles', 'Machine Learning', 'Reinforcement Learning', '', 'Computer Vision', 'AI in Healthcare', 'Expert Systems', 'AI for Games', 'Cognitive Computing', 'Natural Language Processing', 'Generative AI', 'Neural Networks']",['Robotics'],"['Udemy', 'Google AI']","['RapidMiner', 'Scikit-learn', 'OpenAI GPT', 'Google Cloud AI', 'Microsoft Azure AI', 'PyTorch', 'OpenCV', 'Hugging Face Transformers', 'IBM Watson', 'Keras', 'Amazon SageMaker', '', 'TensorFlow', 'DataRobot', 'BigML']"
46c6a881-236f-4228-94b0-7e6c8f01d3ab,Mandarin,High School,0,"['AI in Education', '', 'Cognitive Computing', 'AI for Games', 'Natural Language Processing']",['Deep Learning'],"['Kaggle', 'DeepLearning.ai', 'edX', 'MIT OpenCourseWare']","['IBM Watson', 'Scikit-learn', 'Microsoft Azure AI', 'PyTorch', '', 'DataRobot', 'Google Cloud AI', 'Weka', 'RapidMiner', 'BigML', 'Keras', 'TensorFlow']"
48ced84a-4181-4ff5-a920-71fb6116e40b,Bengali,Undergraduate Degree,3,"['Machine Learning', 'AI for Games', '', 'Speech Recognition', 'AI Planning and Optimization', 'Natural Language Processing', 'AI in Finance', 'Neural Networks', 'Robotics', 'AI in Education', 'Computer Vision', 'Recommender Systems', 'Deep Learning', 'Cognitive Computing', 'Generative AI', 'AI in Healthcare', 'AI Ethics', 'Reinforcement Learning', 'Autonomous Vehicles']","['AI in Healthcare', 'AI in Finance', 'Autonomous Vehicles', 'Speech Recognition', 'Natural Language Processing', 'Robotics', 'AI Ethics', 'Recommender Systems']","['edX', 'GitHub', 'Harvard Online', 'Kaggle', 'Coursera', 'DeepLearning.ai']","['Keras', 'Hugging Face Transformers', 'RapidMiner', 'OpenAI GPT', 'Google Cloud AI', 'Scikit-learn', 'Amazon SageMaker', 'BigML', 'IBM Watson', 'TensorFlow', '', 'Weka']"
4a58e22a-6019-4089-bb00-27ec158808dc,Dutch,University,2,"['Neural Networks', 'Computer Vision', 'Speech Recognition', 'AI Planning and Optimization', 'Expert Systems', 'Generative AI', 'AI in Education', 'AI in Healthcare', 'Robotics', 'Natural Language Processing', 'Autonomous Vehicles', 'Reinforcement Learning', 'Machine Learning', 'Deep Learning', 'AI in Finance', 'AI for Games', '', 'Recommender Systems']","['Computer Vision', 'Speech Recognition', 'Cognitive Computing', 'AI Ethics', 'Recommender Systems', 'Machine Learning']","['Coursera', 'YouTube', 'edX', 'GitHub', 'MIT OpenCourseWare', 'Harvard Online', 'Google AI']",['Amazon SageMaker']
4bd34c6d-6fec-49b3-87aa-8a622b3bfaa2,German,Undergraduate Degree,3,['Neural Networks'],"['Computer Vision', 'AI in Education', 'Cognitive Computing', 'AI Ethics', 'AI Planning and Optimization', 'Natural Language Processing', 'Speech Recognition']","['MIT OpenCourseWare', 'GitHub', 'Stanford Online', 'Harvard Online', 'DeepLearning.ai', 'Google AI']","['OpenCV', 'BigML', 'OpenAI GPT']"
4dbdade0-b52d-42e9-92ae-b9ed4e4ad36d,Italian,High School,0,"['AI in Education', 'Robotics', 'Speech Recognition', 'Computer Vision', 'Neural Networks', 'Generative AI']",['Neural Networks'],"['Stanford Online', '', 'Harvard Online']","['Scikit-learn', 'Hugging Face Transformers', 'Microsoft Azure AI', 'PyTorch', 'OpenAI GPT']"
508f6ede-348c-4427-a398-165f8a0fbacb,Vietnamese,Master Degree,4,"['AI for Games', 'Cognitive Computing', 'Reinforcement Learning', 'Natural Language Processing', 'Recommender Systems', '', 'Expert Systems', 'AI Ethics', 'Robotics', 'AI in Education', 'Autonomous Vehicles']","['AI Planning and Optimization', '', 'Recommender Systems', 'Deep Learning', 'Generative AI', 'AI Ethics', 'Neural Networks', 'Cognitive Computing', 'AI in Education']",['DeepLearning.ai'],"['Keras', 'Scikit-learn', 'Microsoft Azure AI', 'PyTorch', 'Weka', 'DataRobot', 'OpenCV', 'Google Cloud AI', 'RapidMiner', '', 'BigML', 'IBM Watson', 'Amazon SageMaker']"
5921b76f-ccee-40ea-9b2f-2ebe2f2214f2,Korean,Middle School,1,"['AI in Education', 'AI in Healthcare', 'Deep Learning', '', 'AI for Games', 'Generative AI', 'Cognitive Computing', 'Neural Networks', 'Natural Language Processing', 'Autonomous Vehicles', 'Speech Recognition', 'Computer Vision', 'AI Ethics', 'AI in Finance', 'AI Planning and Optimization']","['AI Ethics', 'Recommender Systems', 'AI in Healthcare']","['Udemy', 'Stanford Online', 'MIT OpenCourseWare', 'edX', 'Google AI', 'DeepLearning.ai', 'Coursera', '']","['PyTorch', 'IBM Watson', 'Scikit-learn', 'TensorFlow', 'DataRobot', 'RapidMiner', 'Microsoft Azure AI', 'Weka', 'Hugging Face Transformers', 'Amazon SageMaker']"
5bd9a03b-1800-47ab-af3a-f762c74af0f4,Russian,Middle School,2,"['Machine Learning', 'Recommender Systems', 'Natural Language Processing', 'Generative AI']","['Cognitive Computing', 'Computer Vision', 'Expert Systems', 'Natural Language Processing']","['Harvard Online', 'edX', 'GitHub', 'Stanford Online', '']","['Amazon SageMaker', 'Keras', 'OpenCV', 'BigML', 'IBM Watson', 'DataRobot', '', 'RapidMiner']"
5c260dc4-175e-4a12-820c-eb37e96cbcac,Bengali,Middle School,1,"['AI in Education', 'Speech Recognition', 'Deep Learning', '', 'Machine Learning', 'Natural Language Processing', 'Robotics', 'AI in Finance', 'Reinforcement Learning', 'Recommender Systems', 'Generative AI', 'Cognitive Computing', 'Expert Systems', 'Computer Vision', 'AI in Healthcare', 'Neural Networks', 'Autonomous Vehicles', 'AI for Games', 'AI Planning and Optimization']","['Speech Recognition', 'AI in Healthcare', 'Neural Networks']",['Stanford Online'],"['Scikit-learn', 'IBM Watson', 'PyTorch', 'BigML', 'DataRobot', 'OpenAI GPT']"
